contract,strike,optionprice,mean,std,median,min,max,pProf
SPY210519C00300000,300.0,117.91,0.009397583529301241,0.09808399818099303,0.016175124706888075,-0.8413212554890123,0.6155876585849935,0.5883352208380521
SPY210519C00305000,305.0,112.91,0.009813737259232213,0.1024274574928783,0.016891408681154664,-0.878577532855455,0.6428477621446869,0.5883352208380521
SPY210519C00310000,310.0,107.92,0.010174843161044328,0.10716349356487109,0.017579771628884057,-0.9192938216707693,0.6724790661949276,0.5880520951302378
SPY210519C00315000,315.0,102.93,0.010570961565528994,0.11235873142447185,0.018334877627408555,-0.9639579251404783,0.704983394770782,0.5873442808607021
SPY210519C00320000,320.0,97.93,0.011112546888696466,0.1180793441789035,0.019270999225867072,-1.0,0.7409776454994035,0.5873442808607021
SPY210519C00325000,325.0,92.94,0.011609205197757582,0.12435550530424348,0.02019807353334594,-1.0,0.7806535487815428,0.587202718006795
SPY210519C00330000,330.0,87.95,0.012167324033898847,0.13130726365824466,0.021230346267074093,-1.0,0.8248316182348674,0.587202718006795
SPY210519C00335000,335.0,82.96,0.012801778788956216,0.13903225739091532,0.022386800315684373,-1.0,0.874324262581444,0.584088335220838
SPY210519C00340000,340.0,77.98,0.01339008734470895,0.1477186177020131,0.02356000197729117,-1.0,0.9299043450084199,0.584088335220838
SPY210519C00345000,345.0,72.99,0.014197594930113994,0.15762409123094448,0.02503368891888169,-1.0,0.9933407428929525,0.5839467723669309
SPY210519C00350000,350.0,68.01,0.014998437531621396,0.16882330100555387,0.02657269451829384,-1.0,1.0657835733532801,0.5833805209513023
SPY210519C00355000,355.0,63.03,0.01595310144208951,0.18165797006916315,0.02835489376787511,-1.0,1.1496738191933458,0.5826727066817667
SPY210519C00360000,360.0,58.05,0.017088624891090927,0.19664259552676483,0.030442876041157144,-1.0,1.247957636929485,0.5818233295583239
SPY210519C00365000,365.0,53.08,0.018300102691328753,0.2141804449952864,0.032728126491883405,-1.0,1.3642415377497474,0.5808323895809739
SPY210519C00370000,370.0,48.11,0.019871025716661977,0.2349286909832697,0.03548553220098046,-1.0,1.5045508381574848,0.5795583238958097
SPY210519C00375000,375.0,43.14,0.021951141572462963,0.25998649817703384,0.03887827895663349,-1.0,1.677189170694404,0.578708946772367
SPY210519C00376000,376.0,42.15,0.02235146483877811,0.2656185191642228,0.039554186339007605,-1.0,1.7163449780250672,0.5784258210645526
SPY210519C00377000,377.0,41.16,0.02278600374046734,0.27147471604454027,0.04026260821645221,-1.0,1.7573843737550192,0.5781426953567383
SPY210519C00378000,378.0,40.17,0.023256559048474627,0.2775767867841555,0.0410059485732927,-1.0,1.8004466224485085,0.5778595696489242
SPY210519C00379000,379.0,39.18,0.023763253718803345,0.2839553195406522,0.041786854369299894,-1.0,1.84568506441441,0.5770101925254814
SPY210519C00380000,380.0,38.19,0.024312808318857737,0.2906199134084318,0.04260824703297124,-1.0,1.8932689401350247,0.5767270668176671
SPY210519C00381000,381.0,37.2,0.024909119088212285,0.2975942953737394,0.043473358983579735,-1.0,1.9433855060149616,0.57658550396376
SPY210519C00382000,382.0,36.21,0.02555326363877412,0.30491628164567663,0.044385776144412276,-1.0,1.996242497203993,0.5758776896942243
SPY210519C00383000,383.0,35.22,0.02624184869458398,0.31264242408352594,0.045349487626041185,-1.0,2.0520710057852525,0.5758776896942243
SPY210519C00384000,384.0,34.24,0.02668175543835749,0.3207060832453313,0.04606334562468363,-1.0,2.1102202343386853,0.5746036240090601
SPY210519C00385000,385.0,33.25,0.027482034651433784,0.3292859840725163,0.04713410388538855,-1.0,2.172750099962604,0.5737542468856173
SPY210519C00386000,386.0,32.27,0.028042127131175505,0.3382229133844699,0.04794573765693108,-1.0,2.23811406333302,0.5729048697621744
SPY210519C00387000,387.0,31.28,0.029010076968840778,0.3477276991432807,0.049143508765638375,-1.0,2.3086298217313486,0.5726217440543602
SPY210519C00388000,388.0,30.31,0.029417848908088042,0.35748666888406927,0.04972645840280998,-1.0,2.3815222970556444,0.5716308040770102
SPY210519C00389000,389.0,29.33,0.030249927436905293,0.36792336190696656,0.05070606730955238,-1.0,2.46041393875747,0.5702151755379389
SPY210519C00390000,390.0,28.35,0.03116985257871399,0.37904191890696215,0.05175340226416818,-1.0,2.5447598174164585,0.5699320498301246
SPY210519C00391000,391.0,27.38,0.03183235416204387,0.39071767536694796,0.05249119628156211,-1.0,2.63381814549878,0.5692242355605889
SPY210519C00392000,392.0,26.41,0.03260792729477533,0.4031374807789521,0.05328318645169138,-1.0,2.7294184333114955,0.5686579841449604
SPY210519C00393000,393.0,25.44,0.03351121408176354,0.4163929492636641,0.05413557209863083,-1.0,2.8323089946445204,0.5676670441676104
SPY210519C00394000,394.0,24.47,0.0345818114749268,0.43053473816871124,0.05505553552060362,-1.0,2.9433567970476746,0.5668176670441676
SPY210519C00395000,395.0,23.51,0.03538332918050529,0.44553744317096206,0.05560225241127893,-1.0,3.061843505902024,0.565118912797282
SPY210519C00396000,396.0,22.55,0.03635167747790094,0.46168283348044303,0.0561955190327791,-1.0,3.1904186618073878,0.5618629671574179
SPY210519C00397000,397.0,21.6,0.037057929920229896,0.4788529420969408,0.056352266397646664,-1.0,3.3284231862850273,0.5594563986409966
SPY210519C00398000,398.0,20.65,0.03805915528655179,0.4972312183904877,0.05652343603821651,-1.0,3.4791254636201736,0.5571913929784824
SPY210519C00399000,399.0,19.7,0.03936070504401568,0.5171043804169508,0.0567111144258462,-1.0,3.6443624783632784,0.5549263873159683
