contract,mean,std,median,min,max,pProf
SPY210611C00355000,1.066356346073208,5.2221517459875,1.500926134024769,-15.223944875107666,28.873111739290874,0.6343230572524506
SPY210611C00360000,1.0589431411767731,5.165050010885474,1.4746078260527142,-14.053976457077233,28.846793431318815,0.6316238102003126
SPY210611C00365000,1.0477279281218843,5.102078181750966,1.4411117977246446,-12.891185759402815,28.81329740299075,0.6283563006108822
SPY210611C00370000,1.0357729982680988,5.03281178976588,1.4028306224925657,-11.733180208632406,28.77501622775867,0.6255149879244211
SPY210611C00380000,0.9913839609919209,4.85777705041238,1.2832019498923168,-9.460235429227678,28.65538755515842,0.6151441966188379
SPY210611C00390000,0.9402581992512183,4.603254899877949,1.1013663675399383,-7.2494975595750795,28.473551972806042,0.5998011081119478
SPY210611C00392500,0.9276053026889536,4.525712093052873,1.0439446046918193,-6.7087759594219545,28.416130209957924,0.5962494672538713
SPY210611C00395000,0.9150969776149178,4.440243773352204,0.9793451214876848,-6.175232079624845,28.351530726753783,0.5897144480750106
SPY210611C00397500,0.9037741378111683,4.346476174847632,0.9075679179275354,-5.64886592018375,28.279753523193637,0.5819008381872425
SPY210611C00400000,0.8919412989235156,4.2448207438564465,0.8262204205593662,-5.132070054550675,28.198406025825467,0.5747975564710897
SPY210611C00402000,0.882967603417889,4.157954879855361,0.7544432169992168,-4.725332567709829,28.12662882226532,0.5679784060235828
SPY210611C00402500,0.8809020685380767,4.135072859757597,0.7353026293831774,-4.624844482725619,28.10748823464928,0.5662736184117062
SPY210611C00404000,0.8756019233885862,4.063917644430027,0.6754882930830529,-4.325772801224997,28.047673898349156,0.5610171899417531
SPY210611C00405000,0.8716592881172907,4.014517906497177,0.6324219709469626,-4.12958177816059,28.00460757621306,0.5566131552777384
SPY210611C00406000,0.8699090540501514,3.963757422933935,0.5893556488108731,-3.933390755096182,27.961541254076977,0.5536297769569541
SPY210611C00407000,0.8681156303213222,3.9115904633140106,0.5438967532227786,-3.7395923054837787,27.916082358488882,0.5502202017332007
SPY210611C00407500,0.8669780296709473,3.884940081709576,0.5199710187027289,-3.6438893674035793,27.892156623968827,0.5479471515840318
SPY210611C00408000,0.8641717754666983,3.8578377092165304,0.49365271073067435,-3.550579002775385,27.865838315996772,0.545816167069186
SPY210611C00409000,0.8607838875418492,3.8023116251215314,0.4410160947865647,-3.363958273518997,27.813201700052662,0.5424065918454326
SPY210611C00410000,0.8603225928151117,3.7452091833037313,0.3883794788424555,-3.177337544262609,27.760565084108556,0.538428754084387
SPY210611C00411000,0.8556515808901325,3.6866739662551833,0.3285651425423311,-2.997894535362236,27.70075074780843,0.5317516692712033
SPY210611C00412000,0.8588441986315483,3.626778467491985,0.27353595314621654,-2.8136663795578527,27.645721558412315,0.5270635033385425
SPY210611C00412500,0.8559096238092704,3.596079662190811,0.24003992481814673,-2.7275337352856734,27.612225530084245,0.5245063219207273
SPY210611C00413000,0.8563571030105435,3.5648933995408005,0.20893646994208223,-2.6390085175614892,27.58112207520818,0.520954681062651
SPY210611C00414000,0.8527879138520243,3.501420359837826,0.1395518398339377,-2.469135802469136,27.511737445100042,0.5141355306151442
SPY210611C00415000,0.8509598670836713,3.436163286043913,0.06777463627378867,-2.3016556608287875,27.439960241539886,0.5070322488989913
SPY210611C00416000,0.8483118230006321,3.369502781608527,-0.008787714190370654,-2.138960666092449,27.36339789107573,0.4989345077425771
SPY210611C00417000,0.8454418172286499,3.301131968682727,-0.09013521155853983,-1.9810508182601203,27.28205039370756,0.49126296348913195
SPY210611C00417500,0.8431535818529471,3.266525932610715,-0.13320153369462956,-1.9044884677959615,27.238984071571473,0.4871430600937633
SPY210611C00418000,0.8419134033825527,3.2316588138938394,-0.17626785583071908,-1.8279261173318022,27.19591774943538,0.4843017474073022
SPY210611C00419000,0.8357030574126691,3.1610059065525906,-0.2695782204589133,-1.6819791367594985,27.102607384807186,0.4752095468106265
SPY210611C00420000,0.829410230008602,3.089244187058731,-0.36767373199111736,-1.540817303091205,27.004511873274986,0.4658332149453047
SPY210611C00421000,0.8231460519010074,3.0165225256040578,-0.47055439042733127,-1.4044406163269214,26.90163121483877,0.4557465549083677
SPY210611C00422000,0.8151619851060437,2.9425939588906274,-0.5806127692195602,-1.2752416499186525,26.791572836046544,0.44622815740872285
SPY210611C00422500,0.8106998251783335,2.905339918184242,-0.6380345320676797,-1.2130347401665231,26.734151073198422,0.441682057110385
SPY210611C00423000,0.8049957227245835,2.868023304085337,-0.697848868367804,-1.1532204038663987,26.6743367368983,0.4364256286404319
SPY210611C00424000,0.7923283062632902,2.79327329696204,-0.8222626878720628,-1.03837687817016,26.549922917394035,0.42392385282000283
SPY210611C00425000,0.7779930451993573,2.718011022678974,-0.9307110728299359,-0.9307110728299359,26.41833137753376,0.41184827390254297
SPY210611C00426000,0.7619697770380917,2.6424624097312814,-0.8302229878457269,-0.8302229878457269,26.27956211731748,0.3990623668134678
SPY210611C00427000,0.7441994004106081,2.5668854807756043,-0.7369126232175328,-0.7369126232175328,26.133615136745174,0.3865605909930388
SPY210611C00427500,0.7360552889349344,2.5292060268333008,-0.6914537276294382,-0.6914537276294382,26.059445359733015,0.37974144054553205
SPY210611C00428000,0.7243961743924798,2.491646606384836,-0.6507799789453537,-0.6507799789453537,25.980490435816858,0.37306435573234836
SPY210611C00429000,0.7028320179596178,2.4167920065096893,-0.5718250550291895,-0.5718250550291895,25.82018801453252,0.3570109390538429
SPY210611C00430000,0.6791780976497949,2.3426791367749313,-0.5000478514690401,-0.5000478514690401,25.65270787289217,0.34180991618127576
SPY210611C00431000,0.6510524071257917,2.2694872854888772,-0.43784094171691074,-0.43784094171691074,25.475657437443807,0.3244779087938628
SPY210611C00432000,0.6236127093764088,2.1971932027901024,-0.3804191788687913,-0.3804191788687913,25.293821855091423,0.30757209830941895
SPY210611C00432500,0.6094992442091348,2.1614476077458207,-0.35410087089673653,-0.35410087089673653,25.200511490463228,0.2990481602500355
SPY210611C00434000,0.5657288343818789,2.0559194395465257,-0.2847162407885922,-0.2847162407885922,24.911010102770632,0.2721977553629777
SPY210611C00435000,0.5352476517139347,1.9871450546172338,-0.2464350655565126,-0.2464350655565126,24.710033932802208,0.25344509163233414
